Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"Archie Goodwin",6-5,22,15,0,7.3333,1.6000,1.8666666666666667,0.545,0.786,0.333,0
"Spencer Dinwiddie",6-6,23,59,18,7.3220,3.1356,2.7796610169491527,0.444,0.792,0.376,0
"Danny Green",6-6,29,68,68,7.3088,1.8235,3.2941176470588234,0.392,0.844,0.379,0
"David Lee",6-7,33,79,10,7.2911,1.5696,5.569620253164557,0.59,0.708,,0
"David Lee",6-9,33,79,10,7.2911,1.5696,5.569620253164557,0.59,0.708,,0
"Tyler Ulis",5-10,21,61,15,7.2787,3.7049,1.5573770491803278,0.421,0.775,0.266,0
"Rodney Stuckey",6-5,30,39,0,7.2051,2.1538,2.1538461538461537,0.373,0.748,0.317,0
"Thabo Sefolosha",6-7,32,62,42,7.1613,1.7258,4.354838709677419,0.441,0.733,0.342,0
"Tim Frazier",6-1,26,65,35,7.1385,5.1538,2.6615384615384614,0.403,0.76,0.313,0
"Larry Nance",6-10,24,63,7,7.1270,1.5238,5.857142857142857,0.526,0.738,0.278,0
"Larry Nance",6-9,24,63,7,7.1270,1.5238,5.857142857142857,0.526,0.738,0.278,0
"Brandon Jennings",6-1,27,81,13,7.1235,4.8765,2.419753086419753,0.359,0.75,0.313,0
"Matt Barnes",6-7,36,74,18,7.1216,2.6216,5.22972972972973,0.391,0.787,0.331,0
"Justin Anderson",6-6,23,75,10,7.0933,0.8800,3.2666666666666666,0.424,0.791,0.299,0
"Anthony Tolliver",6-8,31,65,9,7.0923,1.1846,3.6769230769230767,0.442,0.744,0.391,0
"Joe Ingles",6-8,29,82,26,7.0854,2.7317,3.1707317073170733,0.452,0.735,0.441,0
"Solomon Hill",6-7,25,80,71,7.0375,1.7625,3.8375,0.384,0.805,0.348,0
"Josh Huestis",6-7,25,2,0,7.0000,1.5000,4.5,0.545,0,0.5,0
